Provincia,,Localidad,ADSL,CABLEMODEM,,FIBRAOPTICA,4G,3G,,WIRELESS,
BUENOS AIRES,,La Luisa,--,--,,--,--,--,,SI,
BUENOS AIRES,Carlos Casares,Bellocq,,--,SI,--,,--,SI,,--
,General San Martín,Villa Juan Martín De Pueyrredon,--,,--,SI,,,--,,--
BUENOS AIRES,,,--,SI,,,SI,SI,,--,
BUENOS AIRES,General San Martín,,SI,SI,--,,SI,SI,SI,--,--
BUENOS AIRES,General San Martín,,SI,SI,--,,SI,SI,,,--
BUENOS AIRES,,Villa Marqués Alejandro María De Aguado,--,SI,,SI,SI,SI,,,--
BUENOS AIRES,General San Martín,Villa Parque Pres Figueroa Alcorta,,,--,SI,,SI,--,--,
,General San Martín,Villa Parque San Lorenzo,--,,--,SI,SI,,--,--,
,General San Martín,Villa San Andrés,,,--,SI,,,SI,SI,--
BUENOS AIRES,General San Martín,Villa Yapeyú,,SI,--,SI,,SI,--,,--
BUENOS AIRES,,,SI,--,,,SI,--,,SI,
BUENOS AIRES,General Viamonte,,--,--,--,,--,--,--,--,
BUENOS AIRES,Moreno,La Reja,,SI,SI,SI,,SI,SI,,SI
,Moreno,Moreno,,,SI,SI,SI,,SI,SI,SI
BUENOS AIRES,,Paso Del Rey,--,SI,,SI,SI,SI,,SI,
BUENOS AIRES,Moreno,,SI,SI,,,SI,SI,SI,SI,--
,Morón,Castelar,SI,,--,SI,SI,,SI,,--
BUENOS AIRES,Morón,El Palomar,,SI,SI,SI,,,SI,SI,SI
BUENOS AIRES,Tornquist,Tornquist,,SI,--,SI,,SI,SI,--,SI
,Tornquist,Tres Picos,,,--,--,,,--,--,
BUENOS AIRES,Tornquist,,--,SI,--,,--,--,--,--,--
BUENOS AIRES,,,SI,--,,,SI,--,,,--
,Trenque Lauquen,30 de Agosto,--,,--,SI,SI,,SI,--,
BUENOS AIRES,Trenque Lauquen,Berutti,,--,--,SI,,SI,SI,--,
,Trenque Lauquen,Girodias,,,--,--,,,SI,SI,--
BUENOS AIRES,Trenque Lauquen,La Carreta,,--,--,--,,--,--,,--
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,SI
BUENOS AIRES,Trenque Lauquen,,--,--,--,,--,--,--,SI,
BUENOS AIRES,,,--,--,,,SI,SI,--,,--
JUJUY,,Los Alisos,SI,--,,--,--,--,,--,--
CABA,COMUNA 01,MONSERRAT,,SI,SI,SI,,,SI,SI,
,Calamuchita,La Cumbrecita,--,,--,--,SI,,--,SI,--
CORDOBA,,Las Bajadas,--,--,,--,SI,--,,SI,--
CORDOBA,,,--,--,,,--,--,,,--
CORDOBA,Calamuchita,Los Cóndores,,--,--,--,,SI,SI,SI,SI
