,Partido,Localidad,,,CABLEMODEM,DIAL UP,FIBRA OPTICA,,SATELITAL,WIMAX,,,
SALTA,,,66133050,- 0,,,- 0,- 0,,- 0,9,9,
SALTA,Rivadavia,,66133060,- 0,- 0,,- 0,- 0,- 0,,6,6,
,Rivadavia,Rivadavia,66133070,,- 0,- 0,1,,- 0,- 0,,,
SALTA,Rivadavia,Santa María,,- 0,- 0,- 0,,5,- 0,- 0,,5,
,Rivadavia,Santa Victoria Este,,,- 0,- 0,,,1,,41,70,
,Rosario de la Frontera,Antilla,66140010,,- 0,- 0,1,,2,,- 0,3,
SALTA,,,66140040,- 0,,,1,- 0,,- 0,,2,
SALTA,,Rosario de la Frontera,66140050,2.354,,- 0,3,- 0,,- 0,,,
,Rosario de la Frontera,Copo Quile,66140020,,- 0,- 0,35,,- 0,- 0,- 0,35,
SALTA,Rosario de la Frontera,El Naranjo,,- 0,- 0,- 0,,,1,,- 0,40,
SALTA,Rosario de Lerma,,66147010,218,- 0,,360,- 0,3,- 0,148,,
SALTA,,La Silleta,66147020,105,,- 0,220,- 0,,- 0,,,
SALTA,Rosario de Lerma,Rosario de Lerma,,1.285,403,- 0,,10,1,- 0,4,4.305,
,Rosario de Lerma,La Merced Del Encón,,,- 0,- 0,175,,- 0,,82,257,
,San Carlos,Angastaco,66154010,,- 0,- 0,7,,- 0,- 0,,46,
,San Carlos,Animaná,,,- 0,- 0,,,1,- 0,51,,
SALTA,,El Barrial,66154030,- 0,,- 0,- 0,400,,,- 0,400,
SALTA,,,66154040,- 0,,,1,- 0,,- 0,94,97,
,Santa Victoria,Campo La Cruz,,,- 0,- 0,,50,- 0,- 0,- 0,,
,Santa Victoria,Los Toldos,66161030,,- 0,- 0,2,,- 0,- 0,,43,
,Santa Victoria,Nazareno,,,- 0,- 0,,,- 0,,- 0,196,
,Santa Victoria,Poscaya,66161050,,- 0,- 0,- 0,,- 0,- 0,- 0,30,
SALTA,,,66161060,- 0,,,- 0,30,,- 0,,,
SALTA,,Santa Victoria,66161070,- 0,,- 0,74,- 0,,- 0,200,,
SALTA,,Acoyte,66161010,- 0,,- 0,- 0,- 0,,- 0,10,10,
SAN JUAN,25 de Mayo,,70126050,- 0,- 0,,- 0,- 0,- 0,,52,52,
,25 de Mayo,Tupelí,70126020,,- 0,- 0,,,- 0,- 0,60,,
SAN JUAN,25 de Mayo,Villa Borjas - La Chimbera,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
SAN JUAN,25 de Mayo,,70126010,- 0,- 0,,- 0,- 0,- 0,,6,6,
SAN JUAN,,,70063040,- 0,,,125,- 0,,,116,242,
,9 de Julio,Colonia Fiorito,70063020,,- 0,- 0,- 0,,- 0,- 0,,5,
,9 de Julio,Las Chacritas,,,- 0,- 0,,,- 0,- 0,,,
SAN JUAN,,OTROS,Sin Datos,- 0,,- 0,- 0,- 0,,,- 0,1,
SAN JUAN,,,70063010,- 0,,,- 0,- 0,,- 0,5,5,
SAN JUAN,Albardón,,70007010,509,- 0,,- 0,- 0,- 0,- 0,10,,
SAN JUAN,,OTROS,Sin Datos,- 0,,,- 0,300,,- 0,,300,
SAN JUAN,Albardón,Villa General San Martín - Campo Afuera,,- 0,- 0,- 0,,- 0,- 0,,135,135,
,Albardón,Villa General San Martin,70007010,,- 0,- 0,- 0,,- 0,,46,46,
SAN JUAN,,,Sin Datos,- 0,,,- 0,72,,- 0,,72,
SAN JUAN,Angaco,,70014020,- 0,- 0,,- 0,- 0,- 0,- 0,93,,
SAN JUAN,,,70014010,- 0,,- 0,- 0,- 0,,- 0,34,34,
SAN JUAN,Calingasta,,70021010,- 0,- 0,,- 0,- 0,- 0,,1.294,1.295,
,Calingasta,Calingasta,70021020,,- 0,- 0,- 0,,2,- 0,370,,
SAN JUAN,Calingasta,Tamberías,,- 0,- 0,1,,- 0,- 0,- 0,,131,
,Capital,San Juan,,,22.723,227,,,5,,6.781,56.847,
,Caucete,Bermejo,70035010,,- 0,- 0,- 0,,1,- 0,- 0,1,
SAN JUAN,,,70035020,1.006,,,- 0,2.500,,- 0,,,
SAN JUAN,,Vallecito,70035070,- 0,,- 0,- 0,250,,- 0,4,,
,Caucete,Villa Independencia,70035080,,- 0,- 0,- 0,,- 0,- 0,10,10,
SAN JUAN,Chimbas,Chimbas,,2.944,- 0,6,,,- 0,,1.948,5.840,
SAN JUAN,Chimbas,,70042010,- 0,- 0,,- 0,- 0,- 0,- 0,2,,
SAN JUAN,,Angualasto,70049010,- 0,,- 0,- 0,- 0,,- 0,,38,
SAN JUAN,Iglesia,Bella Vista,,- 0,- 0,- 0,,- 0,1,,43,44,
,Iglesia,Iglesia,,,- 0,- 0,- 0,,11,,79,90,
,Iglesia,Las Flores,70049040,,- 0,- 0,- 0,,1,- 0,,112,
,Iglesia,Pismanta,,,- 0,- 0,,,3,- 0,,,
SAN JUAN,,Rodeo,70049060,- 0,,- 0,- 0,10,,,472,482,
SAN JUAN,,,70049070,- 0,,,- 0,- 0,,,89,90,
SAN JUAN,Jáchal,San Isidro,,,- 0,- 0,,- 0,- 0,- 0,97,,
,Jáchal,San José de Jáchal,70056080,,- 0,1,381,,2,- 0,,,
,Jáchal,Tamberías,,,- 0,- 0,,,- 0,,62,62,
SAN JUAN,Jáchal,Villa Mercedes,,- 0,- 0,- 0,,- 0,4,,170,174,
SAN JUAN,,,70056020,- 0,,,- 0,- 0,,- 0,,,
SAN JUAN,Jáchal,,70056030,- 0,- 0,,- 0,- 0,- 0,- 0,,109,
SAN JUAN,Jáchal,,70056060,- 0,- 0,,- 0,- 0,,,86,86,
SAN JUAN,,El Médano,70056010,- 0,,- 0,- 0,- 0,,,25,25,
,Jáchal,Mogna,,- 0,- 0,- 0,,- 0,- 0,- 0,,5,
,Jáchal,Niquivil,70056050,,- 0,- 0,- 0,,- 0,- 0,25,,
SAN JUAN,,Villa Malvinas Argentinas,70056100,- 0,,- 0,- 0,- 0,,- 0,25,25,
SAN JUAN,,,Sin Datos,- 0,,,- 0,454,,,- 0,454,
SAN JUAN,Pocito,Villa Aberastain - La Rinconada,,549,- 0,4,,- 0,1,- 0,205,,
,Pocito,Villa Centenario,,,- 0,- 0,,,- 0,- 0,,,
SAN JUAN,Pocito,,70070050,- 0,- 0,,- 0,- 0,- 0,- 0,98,98,
SAN JUAN,,,70070030,- 0,,,- 0,- 0,,,101,101,
SAN JUAN,,Villa Aberastain,70070010,- 0,,- 0,- 0,- 0,,- 0,,10,
SAN JUAN,,,70070010,- 0,,,- 0,- 0,- 0,- 0,14,,
,Pocito,Carpintería,70070020,,- 0,- 0,- 0,,- 0,,14,14,
SAN JUAN,Rawson,Rawson,,16.318,- 0,12,,- 0,2,- 0,1.004,17.336,
SAN JUAN,,,70077020,- 0,,,- 0,- 0,,- 0,,,
SAN JUAN,,El Medanito,70077010,- 0,,- 0,- 0,- 0,,- 0,,32,
SAN JUAN,Rawson,,70077020,- 0,- 0,,- 0,- 0,- 0,,287,287,
SAN JUAN,,,70084010,2.028,,,77,15,,- 0,2.243,4.376,
SAN JUAN,San Martín,San Isidro (Est. Los Angacos),,2,- 0,- 0,,- 0,- 0,- 0,,,
,San Martín,Villa San Martín,,,- 0,- 0,,,1,- 0,18,,
,San Martín,Villa Don Bosco (Est. Angaco Sud),70091060,,- 0,- 0,3,,- 0,- 0,73,76,
SAN JUAN,San Martín,Villa El Salvador,,- 0,- 0,- 0,,,- 0,,12,12,
SAN JUAN,,Dos Acequias (Est. Los Angacos),70091020,- 0,,- 0,- 0,- 0,,- 0,31,,
SAN JUAN,San Martín,,70091010,- 0,,,- 0,- 0,- 0,- 0,,,
,San Martín,Villa Dominguito (Est. Puntilla Blanca),,,- 0,- 0,,,- 0,,2,2,
,Santa Lucía,Santa Lucía,70098010,,- 0,11,73,,- 0,- 0,2.057,4.556,
SAN JUAN,,,70098010,- 0,,,- 0,- 0,,- 0,,18,
SAN JUAN,Sarmiento,,70105010,- 0,- 0,,1,- 0,2,- 0,1,,
,Sarmiento,Cienaguita,,,- 0,- 0,,,- 0,,1,2,
SAN JUAN,Sarmiento,Las Lagunas,,- 0,- 0,- 0,,- 0,1,,- 0,1,
,Sarmiento,Los Berros,,,- 0,- 0,,- 0,- 0,- 0,,,
,Sarmiento,Villa Media Agua,70105100,,- 0,- 0,1,,- 0,- 0,,198,
SAN JUAN,Sarmiento,,70105080,- 0,- 0,,- 0,- 0,,,11,11,
SAN JUAN,,Divisadero,70105040,- 0,,- 0,- 0,- 0,,,11,11,
,Sarmiento,Guanacache,70105050,,- 0,- 0,- 0,,- 0,- 0,,,
,Sarmiento,Punta del Médano,,,- 0,- 0,,,- 0,- 0,1,,
SAN JUAN,Ullum,Villa Ibáñez,,- 0,- 0,1,,- 0,- 0,,402,403,
,Valle Fértil,Astica,70119010,,- 0,- 0,,,- 0,,30,30,
SAN JUAN,Valle Fértil,,Sin Datos,- 0,- 0,,- 0,190,- 0,- 0,,190,
SAN JUAN,,Villa San Agustín,70119060,- 0,,- 0,1,- 0,,- 0,,,
SAN JUAN,,Villa Basilio Nievas,70133010,- 0,,- 0,- 0,- 0,,,340,340,
SAN LUIS,,,74007010,- 0,,,- 0,- 0,,,882,882,
,Ayacucho,La Majada,74007010,,- 0,- 0,- 0,,- 0,- 0,19,,
,Ayacucho,Leandro N. Alem,,,- 0,- 0,,,- 0,- 0,,13,
SAN LUIS,Ayacucho,,74007040,- 0,- 0,,- 0,- 0,- 0,,1.196,1.196,
SAN LUIS,,OTROS,Sin Datos,- 0,,- 0,- 0,- 0,,- 0,- 0,3,
,Ayacucho,Quines,74007050,,- 0,- 0,- 0,,1,- 0,,,
SAN LUIS,Ayacucho,Río Juan Gómez,,- 0,- 0,- 0,,- 0,- 0,- 0,76,,
SAN LUIS,,San Francisco del Monte de Oro,74007070,- 0,,,- 0,- 0,,,1.435,1.435,
SAN LUIS,Ayacucho,,74007070,- 0,- 0,,- 0,- 0,1,- 0,- 0,1,
SAN LUIS,,,74007010,- 0,,,2,- 0,,- 0,- 0,,
SAN LUIS,,Lomas Blancas,74007010,- 0,,- 0,- 0,- 0,,- 0,,,
,Belgrano,La Calera,,,- 0,- 0,,,- 0,- 0,392,392,
,Belgrano,Los Molles,74014010,,- 0,- 0,- 0,,- 0,,246,246,
SAN LUIS,,Nogolí,74014020,- 0,,- 0,- 0,- 0,,- 0,,660,
SAN LUIS,,,74014040,- 0,- 0,,- 0,- 0,- 0,- 0,,,
SAN LUIS,,Villa de la Quebrada,74014030,- 0,,- 0,- 0,- 0,,- 0,513,513,
SAN LUIS,,,74014040,- 0,,,- 0,- 0,,,283,283,
,Chacabuco,Concarán,74028010,,- 0,- 0,- 0,,2,- 0,1.812,,
,Chacabuco,Cortaderas,,,- 0,- 0,,,- 0,- 0,,,
SAN LUIS,Chacabuco,Naschel,,- 0,- 0,- 0,,- 0,- 0,,1.125,1.125,
,Chacabuco,Papagayos,74028040,,- 0,- 0,- 0,,- 0,- 0,61,61,
SAN LUIS,Chacabuco,,74028050,- 0,- 0,,- 0,- 0,- 0,- 0,,106,
SAN LUIS,,,74028060,- 0,,,- 0,- 0,,- 0,74,,
,Chacabuco,Tilisarao,,,- 0,- 0,,,- 0,,1.590,1.590,
SAN LUIS,Chacabuco,Villa del Carmen,,- 0,- 0,- 0,,- 0,- 0,,353,353,
SAN LUIS,,,74028090,- 0,,,- 0,- 0,,- 0,,,
SAN LUIS,,El Algarrobal,74028020,- 0,,- 0,3,- 0,,- 0,,3,
,Coronel Pringles,Carolina,,,- 0,- 0,,,- 0,- 0,229,229,
,Coronel Pringles,El Trapiche,74021020,,- 0,- 0,- 0,,- 0,,1.008,1.008,
,Coronel Pringles,Fraga,,,- 0,- 0,,,- 0,- 0,,309,
SAN LUIS,Coronel Pringles,La Bajada,,- 0,- 0,- 0,,- 0,- 0,- 0,72,,
SAN LUIS,,La Florida,74021050,- 0,,- 0,- 0,- 0,,,87,87,
SAN LUIS,Coronel Pringles,,74021060,100,- 0,,- 0,- 0,- 0,,392,492,
SAN LUIS,Coronel Pringles,OTROS,,- 0,- 0,- 0,,- 0,27,- 0,- 0,,
,Coronel Pringles,Río Grande,,,- 0,- 0,,,- 0,- 0,,,
,Coronel Pringles,Saladillo,74021090,,- 0,- 0,1,,- 0,- 0,1.987,1.988,
,Coronel Pringles,El Durazno,,,- 0,- 0,,,- 0,,66,66,
SAN LUIS,,Juan Jorba,74035010,- 0,,- 0,- 0,- 0,,- 0,,,
SAN LUIS,,,74035020,- 0,,,- 0,- 0,,- 0,,130,
SAN LUIS,General Pedernera,,74035030,175,- 0,,- 0,- 0,- 0,,3.880,4.059,
SAN LUIS,,La Punilla,74035040,- 0,,- 0,- 0,- 0,,,9,9,
SAN LUIS,General Pedernera,Lavaisse,,- 0,- 0,- 0,,- 0,- 0,- 0,,58,
,General Pedernera,San José del Morro,,,- 0,- 0,- 0,,- 0,- 0,,,
SAN LUIS,,,74035070,1.789,,,4,14.585,,- 0,10.179,55.918,
SAN LUIS,General Pedernera,,74035090,- 0,- 0,,- 0,- 0,- 0,,27,27,
,General Pedernera,La Angelina,,,- 0,- 0,,,- 0,- 0,1.127,,
,Gobernador Dupuy,Anchorena,74042010,,- 0,1,- 0,,- 0,- 0,,,
SAN LUIS,,,74042020,- 0,,,- 0,- 0,,- 0,257,260,
SAN LUIS,,Bagual,74042030,- 0,,- 0,- 0,- 0,,,64,64,
SAN LUIS,,,74042040,- 0,,- 0,- 0,- 0,,- 0,,198,
SAN LUIS,Gobernador Dupuy,,74042050,- 0,- 0,,- 0,- 0,1,- 0,961,,
,Gobernador Dupuy,Fortín El Patria,74042060,,- 0,- 0,- 0,,1,,194,195,
SAN LUIS,Gobernador Dupuy,Fortuna,,- 0,- 0,1,,- 0,1,- 0,149,151,
SAN LUIS,Gobernador Dupuy,,74042080,- 0,- 0,,- 0,- 0,2,- 0,- 0,,
SAN LUIS,,,74042100,- 0,,,- 0,- 0,,- 0,,511,
SAN LUIS,,Nahuel Mapá,74042110,- 0,,- 0,- 0,- 0,,- 0,20,20,
SAN LUIS,,,74042120,- 0,,,- 0,- 0,2,,83,85,
,Gobernador Dupuy,Nueva Galia,74042130,,- 0,- 0,- 0,,- 0,- 0,500,,
SAN LUIS,Gobernador Dupuy,Unión,,- 0,- 0,- 0,,,- 0,- 0,,810,
SAN LUIS,Junín,Carpinteria,,155,10,- 0,,- 0,- 0,,901,1.066,
,Junín,Cerro de Oro,,,14,- 0,,,- 0,- 0,250,290,
SAN LUIS,Junín,,74049030,- 0,- 0,,- 0,- 0,- 0,- 0,,,
SAN LUIS,,,74049040,- 0,,,- 0,- 0,,- 0,64,,
,Junín,Los Molles,74049050,,- 0,- 0,- 0,,- 0,,54,54,
SAN LUIS,Junín,Merlo,,1.286,62,- 0,,- 0,- 0,,5.089,6.648,
SAN LUIS,Junín,,74049070,142,- 0,,- 0,- 0,,- 0,,,
SAN LUIS,,Talita,74049080,- 0,,- 0,- 0,- 0,,- 0,,113,
,La Capital,Alto Pelado,,,- 0,- 0,,- 0,- 0,,71,71,
,La Capital,Alto Pencoso,74056020,,- 0,- 0,1,,- 0,,85,86,
,La Capital,Balde,,,- 0,- 0,,,5,- 0,,189,
SAN LUIS,La Capital,Beazley,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
SAN LUIS,,,74056050,- 0,,,- 0,- 0,,,34,34,
SAN LUIS,La Capital,,74056060,- 0,- 0,,- 0,- 0,- 0,- 0,9,9,
SAN LUIS,La Capital,Desaguadero,,- 0,- 0,- 0,,- 0,- 0,- 0,252,,
,La Capital,El Volcán,,,- 0,- 0,,,- 0,- 0,,,
,La Capital,Jarilla,,,- 0,- 0,,- 0,- 0,,29,29,
,La Capital,Juana Koslay,74056100,,- 0,2,- 0,,- 0,- 0,82,503,
SAN LUIS,La Capital,,74056120,- 0,- 0,,- 0,- 0,,- 0,,1.795,
SAN LUIS,,Salinas del Bebedero,74056130,- 0,,- 0,- 0,- 0,,- 0,,,
SAN LUIS,,,74056140,- 0,,,- 0,- 0,,,160,160,
SAN LUIS,La Capital,,74056150,2.774,1,,5,84,2,,18.447,21.397,
,La Capital,Zanjitas,,,- 0,- 0,,,- 0,- 0,,,
SAN LUIS,La Capital,La Punta,,- 0,- 0,- 0,,- 0,- 0,- 0,,7,
SAN LUIS,La Capital,,74056070,- 0,- 0,,- 0,- 0,1,,55,56,
SAN LUIS,,Varela,74056140,- 0,,- 0,- 0,- 0,,- 0,7,7,
,La Capital,Boca Del Tigre,74056070,,- 0,- 0,- 0,,1,- 0,,,
SAN LUIS,Libertador Grl. San Martín,La Ramada,,- 0,- 0,- 0,,,- 0,- 0,2.144,,
SAN LUIS,,La Vertiente,74063010,- 0,,- 0,- 0,- 0,,,49,51,
SAN LUIS,,,74063020,- 0,,,- 0,- 0,- 0,- 0,98,98,
SAN LUIS,Libertador Grl. San Martín,,74063030,- 0,- 0,,- 0,- 0,5,- 0,30,,
SAN LUIS,,,74063040,- 0,,,- 0,- 0,,- 0,,27,
SAN LUIS,Libertador Grl. San Martín,Paso Grande,,- 0,- 0,- 0,,- 0,- 0,- 0,183,183,
,Libertador Grl. San Martín,Potrerillo,,,- 0,- 0,,,- 0,,59,59,
SAN LUIS,,,74063070,1,,,- 0,- 0,,- 0,,326,
SAN LUIS,Libertador Grl. San Martín,,74063080,- 0,- 0,,- 0,- 0,1,- 0,211,,
SAN LUIS,,,74063050,- 0,,,- 0,- 0,,,11,11,
SAN LUIS,,OTROS,Sin Datos,- 0,,- 0,- 0,70,,- 0,- 0,70,
,Corpen Aike,Comandante Luis Piedrabuena,,,618,2,,,1,- 0,,1.296,
,Corpen Aike,Puerto Santa Cruz,78007020,,- 0,4,- 0,,2,- 0,- 0,,
,Deseado,Caleta Olivia,78014010,,8.280,- 0,720,,5,- 0,478,9.485,
SANTA CRUZ,Deseado,Cañadón Seco,,- 0,- 0,- 0,,- 0,3,,118,123,
SANTA CRUZ,,Jaramillo,78014040,- 0,,,- 0,- 0,,- 0,86,,
SANTA CRUZ,Deseado,,78014060,- 0,- 0,,2.353,1,1,- 0,,,
SANTA CRUZ,Deseado,Pico Truncado,,- 0,- 0,- 0,,1,2,,1.069,3.918,
,Deseado,Puerto Deseado,,,- 0,9,,,12,,- 0,1.519,
SANTA CRUZ,,Tellier,78014090,- 0,,- 0,- 0,- 0,,- 0,,1,
SANTA CRUZ,,,78021060,- 0,,,10,6,,- 0,,,
,Güer Aike,El Turbio (Est. Gobernador Mayer),78021010,,- 0,- 0,- 0,,1,,- 0,1,
,Güer Aike,Río Gallegos,,,10.399,173,,,14,,- 0,15.176,
SANTA CRUZ,Güer Aike,Yacimientos Río Turbio,,261,- 0,- 0,,1,1,- 0,,,
,Güer Aike,Mina 3,78021030,,- 0,- 0,,,1,- 0,,1,
SANTA CRUZ,Lago Argentino,,78028010,2.595,- 0,,3.717,1,7,- 0,618,6.938,
SANTA CRUZ,,El Chaltén,78028020,- 0,,- 0,431,1,,,2,437,
,Lago Argentino,Tres Lagos,,,- 0,- 0,,,1,- 0,,,
SANTA CRUZ,Lago Buenos Aires,Los Antiguos,,- 0,- 0,2,,1,6,- 0,30,,
,Lago Buenos Aires,Perito Moreno,,,2.600,7,,,5,,- 0,2.713,
SANTA CRUZ,Magallanes,Puerto San Julián,,849,2.150,1,,1,8,,153,3.162,
SANTA CRUZ,,Bajo Caracoles,78049010,- 0,,- 0,- 0,- 0,,- 0,- 0,,
SANTA CRUZ,Río Chico,,78049020,- 0,- 0,,- 0,1,5,- 0,,6,
SANTA FE,,,82077010,- 0,,,- 0,- 0,,,35,37,
SANTA FE,,Gato Colorado,82077020,- 0,,- 0,- 0,- 0,,,- 0,4,
,9 de Julio,Gregoria Pérez de Denis (Est. El Nochero),,,- 0,- 0,,,3,- 0,,147,
,9 de Julio,Logroño,82077040,,- 0,- 0,- 0,,- 0,- 0,,,
SANTA FE,,Montefiore,82077050,- 0,,- 0,- 0,- 0,,- 0,17,18,
SANTA FE,9 de Julio,,82077060,- 0,- 0,,- 0,- 0,,,127,127,
SANTA FE,9 de Julio,San Bernardo,,- 0,- 0,- 0,,- 0,- 0,- 0,109,,
,9 de Julio,Santa Margarita,82077070,,- 0,- 0,- 0,,5,- 0,,,
SANTA FE,9 de Julio,,82077080,1.328,6,,- 0,- 0,2,- 0,1.752,3.088,
SANTA FE,,,82077090,- 0,,- 0,1,- 0,,,264,270,
SANTA FE,,Armstrong,82007010,1.245,,- 0,99,- 0,,- 0,,,
SANTA FE,,,82007020,388,,,- 0,- 0,,- 0,1,,
,Belgrano,Las Parejas,82007030,,154,- 0,- 0,,- 0,,124,1.575,
,Belgrano,Las Rosas,,,2.308,- 0,,,- 0,- 0,33,3.924,
SANTA FE,,,82007050,591,,,- 0,168,1,- 0,,,
SANTA FE,,Tortugas,82007060,177,,- 0,- 0,- 0,,- 0,,178,
SANTA FE,,Arequito,82014010,71,,- 0,- 0,- 0,,,- 0,2.312,
SANTA FE,,,82014020,73,,,- 0,- 0,,- 0,87,1.028,
,Caseros,Beravebú,82014030,,- 0,- 0,- 0,,- 0,- 0,,,
,Caseros,Bigand,,,1.065,- 0,,,- 0,- 0,- 0,,
SANTA FE,Caseros,Casilda,,4.277,1.873,- 0,,- 0,- 0,- 0,1.129,8.165,
,Caseros,Chabás,82014060,,- 0,- 0,,,- 0,,13,1.501,
SANTA FE,Caseros,,82014070,76,808,,401,- 0,- 0,- 0,- 0,,
SANTA FE,,Gödeken,82014080,- 0,,- 0,1,- 0,,- 0,,532,
,Caseros,Los Molinos,,,507,- 0,,,- 0,,- 0,534,
SANTA FE,Caseros,Los Nogales,,- 0,44,- 0,,- 0,- 0,,- 0,44,
SANTA FE,,,82014110,- 0,,,- 0,2,,- 0,,780,
SANTA FE,,San José de la Esquina,82014120,135,,- 0,- 0,- 0,,- 0,,,
,Caseros,Sanford,,,- 0,- 0,,,- 0,,- 0,466,
,Caseros,Villada,82014140,,1,- 0,- 0,,- 0,- 0,- 0,104,
,Castellanos,Aldao (Est. Casablanca),82021010,,- 0,- 0,662,,- 0,- 0,,,
SANTA FE,Castellanos,Angélica,,600,- 0,- 0,,- 0,- 0,- 0,,609,
SANTA FE,,Ataliva,82021030,295,,,89,- 0,,,183,577,
SANTA FE,Castellanos,,82021040,- 0,- 0,,- 0,- 0,- 0,,4,4,
SANTA FE,Castellanos,Bauer y Sigel,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
,Castellanos,Bella Italia,,,316,- 0,,,- 0,- 0,4,,
,Castellanos,Castellanos,82021080,,1,- 0,- 0,,- 0,,5,6,
SANTA FE,Castellanos,Colonia Bicha,,72,- 0,- 0,,,- 0,,- 0,210,
SANTA FE,,Colonia Cello,82021100,- 0,,- 0,- 0,- 0,,- 0,,29,
SANTA FE,,,82021110,- 0,,,- 0,- 0,- 0,- 0,,,
SANTA FE,Castellanos,,82021120,31,- 0,,185,- 0,- 0,- 0,3,219,
SANTA FE,,,82021130,- 0,,,- 0,- 0,,,49,49,
SANTA FE,Castellanos,Esmeralda,,- 0,82,- 0,,- 0,- 0,- 0,,,
,Castellanos,Estación Clucellas,,,179,- 0,,,- 0,- 0,,183,
SANTA FE,,,82021170,- 0,,,- 0,- 0,,,3,14,
SANTA FE,Castellanos,,82021180,27,- 0,,130,- 0,- 0,- 0,- 0,157,
,Castellanos,Eustolia,,,- 0,- 0,,- 0,- 0,- 0,,4,
,Castellanos,Humberto Primo,82021220,,53,- 0,33,,- 0,- 0,262,,
SANTA FE,Castellanos,,82021230,28,77,,- 0,- 0,,,1,106,
SANTA FE,,Lehmann,82021240,196,,- 0,166,- 0,,- 0,- 0,738,
SANTA FE,,,82021250,788,,,620,- 0,,- 0,60,,
SANTA FE,Castellanos,,82021270,45,283,,- 0,- 0,- 0,- 0,,,
,Castellanos,Plaza Saguier,,,51,- 0,,,- 0,- 0,- 0,51,
SANTA FE,Castellanos,Presidente Roca,,- 0,137,- 0,,- 0,- 0,,5,143,
SANTA FE,Castellanos,,82021300,- 0,- 0,,- 0,- 0,- 0,- 0,,11,
SANTA FE,,Rafaela,82021310,2.889,,- 0,4.199,6,,- 0,,,
SANTA FE,Castellanos,,82021320,1,- 0,,- 0,- 0,,- 0,327,328,
SANTA FE,,San Antonio,82021330,- 0,,- 0,- 0,- 0,,,59,69,
,Castellanos,San Vicente,,,1.334,- 0,,- 0,- 0,- 0,42,,
,Castellanos,Santa Clara de Saguier,82021350,,107,- 0,- 0,,- 0,- 0,,,
,Castellanos,Sunchales,,,21,1,,,- 0,,67,7.565,
SANTA FE,Castellanos,Susana,,- 0,- 0,- 0,,- 0,- 0,- 0,78,395,
SANTA FE,,,82021380,437,,,467,- 0,,- 0,,904,
SANTA FE,Castellanos,,82021390,419,- 0,,- 0,- 0,- 0,- 0,- 0,,
SANTA FE,Castellanos,Villa San José,,- 0,53,- 0,,- 0,- 0,,31,84,
,Castellanos,Virginia,,,- 0,- 0,,,- 0,,9,9,
SANTA FE,,Zenón Pereyra,82021430,- 0,,- 0,- 0,- 0,,- 0,,,
SANTA FE,,,82021200,- 0,,,- 0,- 0,- 0,- 0,,1,
,Constitución,Alcorta,82028010,,1.261,- 0,550,,- 0,- 0,353,2.387,
SANTA FE,Constitución,Bombal,,495,246,- 0,,,- 0,,- 0,941,
SANTA FE,Constitución,Empalme Villa Constitución,,660,- 0,- 0,,- 0,- 0,- 0,,660,
,Constitución,Godoy,,,- 0,- 0,,,- 0,- 0,150,,
SANTA FE,Constitución,,82028110,350,- 0,,- 0,- 0,- 0,,1,351,
SANTA FE,,,82028120,480,,,- 0,- 0,,,- 0,480,
,Constitución,La Vanguardia,82028130,,- 0,- 0,86,,- 0,- 0,- 0,,
SANTA FE,Constitución,Máximo Paz (Est. Paz),,647,321,- 0,,- 0,- 0,- 0,,,
,Constitución,Pavón,,,- 0,- 0,,,- 0,,- 0,104,
,Constitución,Pavón Arriba,82028160,,- 0,- 0,387,,- 0,,25,412,
SANTA FE,,,82028180,- 0,,,- 0,- 0,,- 0,72,,
SANTA FE,,Santa Teresa,82028190,169,,- 0,656,- 0,,- 0,,1.222,
SANTA FE,,,82028200,- 0,,- 0,326,- 0,,,102,428,
SANTA FE,Constitución,,82028230,5.033,1.967,,61,- 0,- 0,- 0,1.355,8.416,
,Constitución,Peyrano,82028170,,670,- 0,- 0,,- 0,- 0,,670,
SANTA FE,Constitución,Cepeda,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
SANTA FE,Constitución,,82028090,189,- 0,,- 0,- 0,- 0,- 0,4,193,
SANTA FE,,,82035010,- 0,,,- 0,- 0,,,428,428,
,Garay,Helvecia,82035020,,440,- 0,- 0,,- 0,- 0,205,,
,Garay,Saladero Mariano Cabal,,,- 0,- 0,,,1,- 0,,65,
SANTA FE,,Santa Rosa de Calchines,82035050,76,,- 0,- 0,- 0,,- 0,- 0,1.017,
SANTA FE,,,82035030,- 0,,,- 0,67,,,- 0,134,
SANTA FE,General López,,82042010,- 0,- 0,,- 0,- 0,- 0,- 0,,,
SANTA FE,,Amenábar,82042020,158,,- 0,- 0,- 0,,- 0,80,,
SANTA FE,General López,Cafferata,,246,- 0,- 0,,- 0,- 0,,- 0,247,
,General López,Cañada del Ucle,,,- 0,- 0,- 0,,- 0,- 0,200,422,
SANTA FE,,,82042050,- 0,,,- 0,40,,- 0,,,
SANTA FE,General López,,82042060,- 0,1,,- 0,- 0,- 0,- 0,,275,
SANTA FE,,Chapuy,82042070,- 0,,- 0,- 0,- 0,,,- 0,1,
SANTA FE,General López,,82042080,- 0,1,,- 0,- 0,1,- 0,- 0,2,
,General López,Christophersen,82042090,,- 0,- 0,,,- 0,- 0,,93,
